name	tradition	type	provenance	status	reviewer
ABDULLAHI	hausa	first	generator-pool	reviewed	David Akinboro
ABIODUN	yoruba	first	common-usage	reviewed	David Akinboro
ABUBAKAR	hausa	first	generator-pool	reviewed	David Akinboro
ACHEBE	igbo	surname	generator-pool	reviewed	David Akinboro
ADA	igbo	first	generator-pool	reviewed	David Akinboro
ADAEZE	igbo	first	generator-pool	reviewed	David Akinboro
ADAOBI	igbo	first	generator-pool	reviewed	David Akinboro
ADEBAYO	yoruba	first	generator-pool	reviewed	David Akinboro
ADEBIMPE	yoruba	first	generator-pool	reviewed	David Akinboro
ADEBOWALE	yoruba	surname	generator-pool	reviewed	David Akinboro
ADEDAMOLA	yoruba	first	generator-pool	reviewed	David Akinboro
ADEGOKE	yoruba	surname	generator-pool	reviewed	David Akinboro
ADEKUNLE	yoruba	first	generator-pool	reviewed	David Akinboro
ADELEKE	yoruba	surname	generator-pool	reviewed	David Akinboro
ADENIYI	yoruba	first	generator-pool	reviewed	David Akinboro
ADEOLA	yoruba	first	generator-pool	reviewed	David Akinboro
ADEOYE	yoruba	surname	generator-pool	reviewed	David Akinboro
ADERONKE	yoruba	first	generator-pool	reviewed	David Akinboro
ADESEWA	yoruba	first	generator-pool	reviewed	David Akinboro
ADESOLA	yoruba	first	common-usage	reviewed	David Akinboro
ADEWALE	yoruba	first	generator-pool	reviewed	David Akinboro
ADEYEMI	yoruba	surname	generator-pool	reviewed	David Akinboro
AFOLABI	yoruba	surname	generator-pool	reviewed	David Akinboro
AISHA	hausa	first	generator-pool	reviewed	David Akinboro
AJAYI	yoruba	surname	generator-pool	reviewed	David Akinboro
AKINYEMI	yoruba	surname	generator-pool	reviewed	David Akinboro
ALABA	yoruba	first	common-usage	reviewed	David Akinboro
ALABI	yoruba	surname	generator-pool	reviewed	David Akinboro
ALIYU	hausa	first	generator-pool	reviewed	David Akinboro
AMAKA	igbo	first	common-usage	reviewed	David Akinboro
AMARACHI	igbo	first	generator-pool	reviewed	David Akinboro
AMINA	hausa	first	generator-pool	reviewed	David Akinboro
AMINU	hausa	first	generator-pool	reviewed	David Akinboro
ANYANWU	igbo	surname	generator-pool	reviewed	David Akinboro
AYODEJI	yoruba	first	generator-pool	reviewed	David Akinboro
AYOMIDE	yoruba	first	generator-pool	reviewed	David Akinboro
BABATUNDE	yoruba	first	generator-pool	reviewed	David Akinboro
BAKARE	yoruba	surname	generator-pool	reviewed	David Akinboro
BALA	hausa	surname	generator-pool	reviewed	David Akinboro
BALOGUN	yoruba	surname	generator-pool	reviewed	David Akinboro
BASHIR	hausa	first	generator-pool	reviewed	David Akinboro
BAYO	yoruba	first	common-usage	reviewed	David Akinboro
BELLO	yoruba	surname	generator-pool	reviewed	David Akinboro
BILKISU	hausa	first	generator-pool	reviewed	David Akinboro
BIMPE	yoruba	first	generator-pool	reviewed	David Akinboro
BINTA	hausa	first	generator-pool	reviewed	David Akinboro
BIODUN	yoruba	first	generator-pool	reviewed	David Akinboro
BODE	yoruba	first	common-usage	reviewed	David Akinboro
BOLU	yoruba	first	common-usage	reviewed	David Akinboro
BOLUWATIFE	yoruba	first	generator-pool	reviewed	David Akinboro
BUKOLA	yoruba	first	generator-pool	reviewed	David Akinboro
BUNMI	yoruba	first	generator-pool	reviewed	David Akinboro
CHI	igbo	first	generator-pool	reviewed	David Akinboro
CHIAMAKA	igbo	first	generator-pool	reviewed	David Akinboro
CHIBU	igbo	first	generator-pool	reviewed	David Akinboro
CHIBUEZE	igbo	first	generator-pool	reviewed	David Akinboro
CHIDERA	igbo	first	generator-pool	reviewed	David Akinboro
CHIDI	igbo	first	generator-pool	reviewed	David Akinboro
CHINEDU	igbo	first	generator-pool	reviewed	David Akinboro
CHINELO	igbo	first	common-usage	reviewed	David Akinboro
CHIOMA	igbo	first	generator-pool	reviewed	David Akinboro
CHIZOBA	igbo	first	common-usage	reviewed	David Akinboro
CHUKWU	igbo	surname	generator-pool	reviewed	David Akinboro
CHUKWUDI	igbo	first	generator-pool	reviewed	David Akinboro
CHUKWUEMEKA	igbo	first	generator-pool	reviewed	David Akinboro
DAMI	yoruba	first	common-usage	reviewed	David Akinboro
DAMILARE	yoruba	first	generator-pool	reviewed	David Akinboro
DANJUMA	hausa	surname	generator-pool	reviewed	David Akinboro
DANLADI	hausa	first	generator-pool	reviewed	David Akinboro
DARE	yoruba	first	common-usage	reviewed	David Akinboro
DEJI	yoruba	first	common-usage	reviewed	David Akinboro
DELE	yoruba	first	common-usage	reviewed	David Akinboro
DUPE	yoruba	first	common-usage	reviewed	David Akinboro
EBUKA	igbo	first	generator-pool	reviewed	David Akinboro
EKWUEME	igbo	surname	generator-pool	reviewed	David Akinboro
